Alert Details,Type,Database,Query,Status,Frequency,Execution Time,Execution Days
Duplicate Wallet,SQL,wallet_services_analytics_gcdb,"select count(a.wallet_id) as duplicateWalletRecordCount from wallet_users_pitv a, wallet_users_pitv b where a.wallet_id != b.wallet_id and a.identity_key = b.identity_key and a.date_created >= date_add('hour', -1, current_timestamp) and b.date_created >= date_add('hour', -1, current_timestamp)",Active,Hourly,,
FLS Alert - Fraud Rate Between 10 and 15 bps,SQL,wallet_services_analytics_gcdb,"with merchant_cte as (SELECT legal_name, count(*) as days FROM ""wallet_services_analytics_gcdb"".""wallet_merchant_fls_dailyfraudrate_data_curated"" dfr join wallet_merchants_pitv m on dfr.merchant_id=m.merchant_id where try_cast(substring(cast(calculation_date as varchar), 1, 10) as date)>try_cast(substring(cast(current_timestamp - interval '6' day as varchar), 1, 10) as date) and try(date_parse(concat(dfr.create_year,lpad(dfr.create_month,2,'0'),lpad(dfr.create_date,2,'0')),'%Y%m%d'))>(current_date - interval '7' day) and dfr.daily_24hr_fraud_rate>=10 and dfr.daily_24hr_fraud_rate<=15 group by m.legal_name, calculation_date) select legal_name as Merchant from merchant_cte",Active,Daily,0,
FLS Alert - Daily Fraud Rate greater than or equal 15 bps,SQL,wallet_services_analytics_gcdb,"with merchant_cte as (SELECT legal_name, count(*) as days FROM ""wallet_services_analytics_gcdb"".""wallet_merchant_fls_dailyfraudrate_data_curated"" dfr join wallet_merchants_pitv m on dfr.merchant_id=m.merchant_id where date_parse(concat(dfr.create_year,lpad(dfr.create_month,2,'0'),lpad(dfr.create_date,2,'0')),'%Y%m%d')>(current_date - interval '3' day) and try_cast(substring(cast(calculation_date as varchar), 1, 10) as date)=try_cast(substring(cast(current_timestamp - interval '1' day as varchar), 1, 10) as date) and dfr.daily_24hr_fraud_rate>=15 group by m.legal_name, calculation_date) select distinct legal_name as merchant from merchant_cte where days>0",Active,Daily,0,
FLS Alert - isEligible flag stays Null,SQL,wallet_services_analytics_gcdb,"with first_cte as (SELECT merchant_id,case when eligible is null and date_qualified is not null then date_diff('day', cast(substring(cast(date_qualified as varchar), 1, 10) as date), cast(substring(cast(current_timestamp as varchar), 1, 10) as date))-90 when eligible='false' then date_diff('day', cast(substring(cast(date_eligible as varchar), 1, 10) as date), cast(substring(cast(current_timestamp as varchar), 1, 10) as date)) ELSE 0 end as days_ineligible FROM ""wallet_services_analytics_gcdb"".""wallet_merchant_fls_eligibility_data_pitv"") select distinct legal_name as Merchant, days_ineligible from first_cte join wallet_merchants_pitv on first_cte.merchant_id=wallet_merchants_pitv.merchant_id where days_ineligible in (1, 15, 30, 45, 60, 75, 90)",Active,Daily,0,
FLS Alert - Fraud reported is more than total approved,SQL,wallet_services_analytics_gcdb,"with src as (select b.merchant_id,b.legal_name, sum(a.fraud_dollar_amount) as total_fraud_dollar_amount, sum(a.transaction_dollar_amount) as total_transaction_dollar_amount from wallet_services_analytics_gcdb.wallet_merchant_fls_dailyfraudrate_data_pitv as a join wallet_services_analytics_gcdb.wallet_merchants_pitv as b on a.merchant_id = b.merchant_id where try(date_parse(substr(calculation_date, 1, 10), '%Y-%m-%d')) = (current_date - interval '0' day) group by b.merchant_id, b.legal_name) select legal_name as Merchant, total_fraud_dollar_amount, total_transaction_dollar_amount from src where total_fraud_dollar_amount > total_transaction_dollar_amount",Active,Daily,0,
Deleted Wallets,SQL,wallet_services_analytics_gcdb,SELECT count(DISTINCT w.wallet_id) as deletedWalletCount FROM wallet_users_pitv w LEFT JOIN wallet_cards_pitv c ON w.wallet_id = c.wallet_id where lower(w.wallet_status) = 'deleted' and w.event_name != 'REMOVE',Active,Daily,10,
Empty Wallets,SQL,wallet_services_analytics_gcdb,select count(u.wallet_id) as emptyWalletCount FROM wallet_users_pitv u left outer join wallet_cards_pitv c on (c.event_name != 'REMOVE' and c.wallet_id = u.wallet_id ) where u.wallet_status != 'deleted' and u.event_name != 'REMOVE' and c.card_id is null,Active,Daily,10,
Multi-FI Active Wallets,SQL,wallet_services_analytics_gcdb,"select count(*) as ""multi-FICount"" from (select w.wallet_id,count(distinct c.issuer_id) from wallet_users_pitv w left outer join wallet_cards_pitv c on w.wallet_id = c.wallet_id where wallet_status in ('active')  and w.event_name not in ('REMOVE') and c.event_name not in ('REMOVE') group by w.wallet_id having count(distinct c.issuer_id) > 1)",Active,Daily,10,
Daily Provision,SQL,wallet_services_analytics_gcdb,"with kpi_data as (SELECT date(period) as mDate,metric_id,metric_value,issuer_id, ROW_NUMBER() OVER (PARTITION BY issuer_id, metric_id, period Order by ingest_time desc ) AS rn from wallet_services_analytics_gcdb.wallet_kpi_metrics WHERE date_parse(concat(create_year,lpad(create_month, 2, '0'),lpad(create_date, 2, '1')),'%Y%m%d') =(current_date - interval '1' day) AND metric_id IN ('26','27','49','50') and issuer_id is not null AND period is not null) select mDate, metric_id, issuer_id, sum(metric_value) as pcount from kpi_data where rn = 1 group by mDate,metric_id,issuer_id",Active,Daily,9,
Weekly Wallet Status Report,SQL,wallet_services_analytics_gcdb,"with src as (SELECT w.wallet_id, w.wallet_status,w.wallet_status_reason, (case when lower(wallet_status) = 'deleted' AND lower(wallet_status_reason) = 'other' AND w.date_modified <= date('2024-07-14') then 'OPT_OUTS' when lower(wallet_status) = 'deleted' and lower(wallet_status_reason) in ('alt_opt_out','opt_out') then 'OPT_OUTS' else wallet_status_reason end) as wallet_status_reason_o FROM wallet_users_pitv w WHERE w.event_name != 'REMOVE' and cast((from_unixtime(w.approximate_creation_date_time / 1000)) as date) < CURRENT_DATE ) SELECT wallet_status,wallet_status_reason_o as wallet_status_reason,count(distinct wallet_id) as wallet_count FROM SRC group by 1,2 order by 1,2",Active,Weekly,11,Mon
Bad Formatted Transaction Date,SQL,wallet_services_analytics_gcdb,"with recent_tx as (SELECT * FROM ""wallet_services_analytics_gcdb"".""wallet_transactions_data_curated"" where transaction_timestamp is null and  create_year = date_format(date_add('day', -1, current_date), '%Y%') and create_month = date_format(date_add('day', -1, current_date), '%m%') and create_date = date_format(date_add('day', -1, current_date), '%d%') union SELECT * FROM ""wallet_services_analytics_gcdb"".""wallet_transactions_data_curated"" where transaction_timestamp is null and  create_year = date_format(current_date, '%Y%') and create_month = date_format(current_date, '%m%') and create_date = date_format(current_date, '%d%') ) select count(*) as recordFormatErrorCount from recent_tx",Active,Hourly,,